yminusthree yminustwo yminusone tot_obs_egg tot_est_egg tot_mat_B tcb Threshold res_SR res_tot_egg init_age_3 tot_sp_B tot_sp_N tot_mat_N tot_post_N N sel_naa_prop3 sel_naa_prop4 sel_naa_prop5 sel_naa_prop6 sel_naa_prop7 sel_naa_prop8 obs_c_comp3 obs_c_comp4 obs_c_comp5 obs_c_comp6 obs_c_comp7 obs_c_comp8 est_sp_comp3 est_sp_comp4 est_sp_comp5 est_sp_comp6 est_sp_comp7 est_sp_comp8 obs_sp_comp3 obs_sp_comp4 obs_sp_comp5 obs_sp_comp6 obs_sp_comp7 obs_sp_comp8 SR Year
 67013.4 67294.3 67135 4.07318 4.57813 60793.8 9935.5 20000 -0.168479 -0.116866 153.542 51780.5 374.944 436.706 520.299 582.062 0.0655086 0.270275 0.231626 0.0753226 0.188271 0.168996 0.144195 0.312734 0.187266 0.0805243 0.174157 0.101124 0.105862 0.344657 0.206645 0.0606859 0.1489 0.133251 0.0824 0.3491 0.1684 0.0631 0.1964 0.1403 185.028 2002
 78377.5 78036.9 79141.2 5.62743 5.71674 71623.3 6956.11 20000 0.114004 -0.0157465 646.041 65312.8 511.083 557.14 997.108 1043.16 0.230591 0.143755 0.25689 0.139099 0.0406375 0.189028 0.155056 0.125843 0.242697 0.177528 0.0516854 0.247191 0.339301 0.168567 0.214934 0.105834 0.0303918 0.140972 0.2645 0.1216 0.2345 0.104 0.0758 0.1992 195.949 2003
 98949.2 98122.1 99632.9 7.16901 7.03006 89859.1 10616.6 20000 0.48119 0.0195719 90.0158 80227.9 622.636 694.16 779.546 851.07 0.0254442 0.483884 0.134331 0.15593 0.0764898 0.123921 0.0283401 0.580972 0.139676 0.137652 0.0526316 0.0607287 0.03826 0.577724 0.113611 0.119623 0.0576511 0.0931304 0.0222 0.5612 0.1403 0.1291 0.0579 0.089 198.511 2004
 95479.8 95280 96256.6 8.13885 6.78077 87015.9 11520.3 20000 0.76381 0.182558 156.339 76564.9 546.919 619.739 678.516 751.337 0.0436296 0.066309 0.555722 0.0991931 0.103994 0.131152 0.0666667 0.0545455 0.529293 0.139394 0.10303 0.107071 0.0756196 0.0912437 0.541582 0.0876795 0.0903101 0.113566 0.0756 0.0378 0.496 0.1414 0.1374 0.1115 198.628 2005
 87517.6 87551.9 87943.6 5.30074 6.26074 79683.2 10069.4 20000 0.440625 -0.166453 219.611 70548.4 495.498 557.151 675.843 737.496 0.0687362 0.12915 0.0864748 0.465842 0.0750925 0.174705 0.159046 0.161034 0.107356 0.429423 0.0775348 0.0656064 0.117701 0.175752 0.0835107 0.408325 0.0646747 0.150036 0.1509 0.1468 0.0865 0.4205 0.0925 0.1026 197.813 2006
 92306.2 92547.9 92759.9 6.85769 6.52332 84012.7 11762.3 20000 0.34449 0.0499873 321.191 73342.2 505.46 574.801 767.694 837.035 0.102427 0.185036 0.153605 0.0662961 0.322804 0.169833 0.108434 0.182731 0.134538 0.0582329 0.36747 0.148594 0.166961 0.239036 0.140038 0.0547518 0.261852 0.137361 0.1033 0.2226 0.153 0.0755 0.2962 0.1491 198.357 2007
 104259 104845 105042 20.1484 7.26031 95010.8 14560.4 20000 -0.749829 1.0207 426.343 81801.9 573.949 660.082 926.161 1012.29 0.123684 0.245481 0.194397 0.103213 0.0401696 0.293055 0.0495238 0.167619 0.15619 0.106667 0.0704762 0.449524 0.19304 0.30276 0.168214 0.080737 0.0308511 0.224398 0.1855 0.2457 0.1325 0.1228 0.0626 0.2506 198.331 2008
 117651 119147 118678 9.00542 8.34176 107250 14874.5 20000 -1.28989 0.0765527 307.338 93756 644.324 731.54 927.025 1014.24 0.0799447 0.291308 0.251397 0.126287 0.0603111 0.190752 0.116981 0.264151 0.230189 0.122642 0.0641509 0.201887 0.125055 0.360931 0.219566 0.0998745 0.0468454 0.147727 0.0817 0.2509 0.2528 0.1178 0.0912 0.2053 194.785 2009
 114178 117452 114965 9.99957 7.78228 104202 17963.5 25000 0.060601 0.250693 279.935 87906.2 629.851 739.626 877.722 987.497 0.0692855 0.200284 0.319405 0.176011 0.0796903 0.155324 0.15146 0.202555 0.282847 0.162409 0.0711679 0.129562 0.11453 0.261032 0.290732 0.144593 0.0642554 0.124858 0.0856102 0.205829 0.327869 0.196721 0.0728597 0.111111 196.969 2010
 107627 112391 107120 13.0665 7.11308 97516.2 19539.2 25000 -1.71188 0.608118 93.7011 79790.6 539.207 654.211 648.629 763.632 0.0252091 0.197387 0.246556 0.24783 0.122601 0.160418 0.0951456 0.250485 0.240777 0.223301 0.145631 0.0446602 0.0441252 0.271322 0.23476 0.212343 0.103045 0.134405 0.0658 0.2567 0.2263 0.2398 0.13 0.081 198.547 2011
 81748.2 84512.2 76791.4 4.97979 5.16798 70341 13308.5 25000 1.33743 -0.037094 53.6242 58267.8 411.176 494.269 465.605 548.697 0.0180673 0.0824212 0.275829 0.214691 0.193043 0.215948 0.0858779 0.0839695 0.217557 0.198473 0.240458 0.173664 0.0334994 0.120387 0.280877 0.197184 0.174002 0.194051 0.1173 0.2119 0.2294 0.1786 0.1348 0.1278 191.47 2012
 -9 88438.7 73238.6 8.43356 5.64604 67796.4 5785.72 25000 0 0.401265 209.274 62547.7 376.432 406.384 534.7 564.652 0.0882947 0.0592458 0.11651 0.245152 0.171168 0.31963 0.118881 0.0606061 0.0815851 0.258741 0.16317 0.317016 0.15134 0.0812131 0.114756 0.220111 0.151133 0.281446 0.20283 0.0849057 0.0786164 0.198113 0.163522 0.272013 0 2013
 -9 -9 68398.5 3.96046 4.36996 64018 17077.4 25000 0 -0.098395 35.8431 48525.7 298.867 388.165 354.661 443.959 0.0162405 0.252231 0.0761451 0.0982382 0.187809 0.369337 0.0056391 0.31391 0.0657895 0.0827068 0.197368 0.334586 0.0293108 0.353682 0.0723154 0.0832627 0.155896 0.305533 0.0121212 0.387879 0.0969697 0.0808081 0.153535 0.268687 0 2014
 -9 -9 -9 4.59376 4.40607 58657.7 8855.83 25000 0 0.0417162 729.36 50623.9 412.611 471.391 941.279 1000.06 0.311209 0.0395357 0.255043 0.0465079 0.0531436 0.294561 0.17105 0.01692 0.23684 0.07707 0.09398 0.40414 0.459205 0.0460947 0.208585 0.0343822 0.0385732 0.21316 0.483333 0.011111 0.201852 0.046296 0.053704 0.203704 0 2015
